Year,Electricity_Supplied,Purchased,Imported,Available,Lost_in_Transmisssion ,Total_capacity,Usage_Fuel,Industrial_Use,Domestic_Use,Other,Total_Used
1920,3.98,0.089,- ,4.065,,,,,,,
1921,3.61,0.059,- ,3.664,,,,,,,
1922,4.23,0.15,- ,4.376,,,,,,,
1923,4.93,0.249,- ,5.177,,,,,,,
1924,5.63,0.272,- ,5.899,,,,,,,
1925,6.18,0.308,- ,6.492,,,,,,,
1926,6.53,0.262,- ,6.788,,,,,,,
1927,7.93,0.176,- ,8.102,,,,,,,
1928,8.75,0.229,- ,8.979,,,,,,,
1929,9.76,0.222,- ,9.979,,,,,,,
1930,10.26,0.213,- ,10.475,,,,,,,
1931,10.76,0.158,- ,10.913,,,,,,,
1932,11.54,0.166,- ,11.701,,,,,,,
1933,12.78,0.183,- ,12.964,,,,,,,
1934,14.58,0.187,- ,14.769,,,,,,,
1935,16.60,0.221,- ,16.817,,,,,,,
1936,19.17,0.237,- ,19.404,,,,,,,
1937,21.67,0.169,- ,21.841,,,,,,,
1938,23.09,0.249,- ,23.338,,,,,,,
1939,25.02,0.171,- ,25.189,,,,,,,
1940,27.21,0.116,- ,27.327,,,,,,,
1941,30.59,0.416,- ,31.010,,,,,,,
1942,33.69,0.147,- ,33.841,,,,,,,
1943,34.92,0.181,- ,35.096,,,,,,,
1944,36.20,0.39,- ,36.585,,,,,,,
1945,35.15,0.558,- ,35.706,,,,,,,
1946,38.93,0.246,- ,39.178,,,,,,,
1947,40.17,0.197,- ,40.369,,,,,,,
1948,43.40,0.411,- ,43.815,,,,,,,
1949,45.82,0.423,- ,46.241,,,,,,,
1950,51.47,0.41,- ,51.877,,,,,,,
1951,56.19,0.467,-0.002,56.658,,,,,,,
1952,58.40,0.418,-0.002,58.816,,,,,,,
1953,61.64,0.322,-0.002,61.955,,,,,,,
1954,68.57,0.353,-0.002,68.921,,,,,,,
1955,75.33,0.321,-0.002,75.648,,,,,,,
1956,81.92,0.277,-0.001,82.191,,,,,,,
1957,85.50,0.501,-0.002,85.999,,,,,,,
1958,92.69,0.753,-0.001,93.441,,,,,,,
1959,98.94,1.629,-0.001,100.572,,,,,,,
1960,116.96,0.15,-0.001,117.11,12.07,105.04,6.25,44.51,33.68,20.60,78.19
1961,120.07,2.757,0.001,122.82,- ,- ,- ,- ,- ,- ,- 
1962,132.77,3.158,0.087,136.02,- ,- ,- ,- ,- ,- ,- 
1963,162.65,3.35,-0.015,147.10,- ,- ,- ,- ,- ,- ,- 
1964,170.95,3.18,-0.211,154.53,- ,- ,- ,- ,- ,- ,- 
1965,169.57,0.21,0.10,169.88,15.17,154.71,7.55,58.54,57.23,31.39,147.16
1966,175.38,0.22,0.35,175.95,15.30,160.65,7.66,60.11,59.81,33.07,152.99
1967,181.14,0.21,0.16,181.51,15.76,165.75,7.75,60.91,62.35,34.74,158.00
1968,193.56,0.20,0.73,194.49,16.29,178.20,7.68,66.15,66.66,37.71,170.52
1969,206.37,0.20,0.58,207.15,17.29,189.86,6.88,70.34,72.19,40.45,182.98
1970,215.76 ,0.19 ,0.55 ,216.50 ,17.50 ,199.00 ,6.59 ,72.99 ,77.04 ,42.38 ,192.41 
1971,222.92 ,0.53 ,0.12 ,223.57 ,19.01 ,204.56 ,6.60 ,73.43 ,80.67 ,43.86 ,197.96 
1972,229.45 ,0.53 ,0.48 ,230.46 ,18.91 ,211.55 ,6.37 ,73.16 ,86.89 ,45.13 ,205.18 
1973,245.42 ,0.59 ,0.06 ,246.07 ,19.59 ,226.48 ,6.67 ,80.07 ,91.30 ,48.44 ,219.81 
