,Year,Total All Fuels,Coal,Oil,Natural gas,Nuclear,Hydro,Wind and Solar,Coke and breeze,Others,Renewable,Non-Renewable,Green
0,1920,3.68,3.67,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.69,0.0
1,1921,3.19,3.1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.19,0.0
2,1922,3.21,3.17,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.21,0.0
3,1923,3.62,3.57,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6199999999999997,0.0
4,1924,3.9,3.85,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0
5,1925,4.08,4.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.08,0.0
6,1926,4.14,4.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1499999999999995,0.0
7,1927,4.63,4.6,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.63,0.0
8,1928,4.79,4.75,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.01,4.78,0.01
9,1929,5.17,5.13,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.01,5.16,0.01
10,1930,5.78,5.59,0.03,0.0,0.0,0.03,0.0,0.14,0.0,0.03,5.76,0.03
11,1931,5.76,5.55,0.03,0.0,0.0,0.04,0.0,0.14,0.0,0.04,5.72,0.04
12,1932,5.9,5.67,0.04,0.0,0.0,0.03,0.0,0.17,0.0,0.03,5.88,0.03
13,1933,6.18,5.96,0.03,0.0,0.0,0.03,0.0,0.15,0.0,0.03,6.140000000000001,0.03
14,1934,6.65,6.45,0.02,0.0,0.0,0.04,0.0,0.13,0.0,0.04,6.6,0.04
15,1935,7.26,7.07,0.02,0.0,0.0,0.05,0.0,0.11,0.0,0.05,7.2,0.05
16,1936,8.05,7.86,0.02,0.0,0.0,0.06,0.0,0.11,0.0,0.06,7.99,0.06
17,1937,8.76,8.53,0.02,0.0,0.0,0.06,0.0,0.14,0.0,0.06,8.69,0.06
18,1938,8.85,8.62,0.02,0.0,0.0,0.08,0.0,0.12,0.0,0.08,8.759999999999998,0.08
19,1939,9.46,9.2,0.02,0.0,0.0,0.08,0.0,0.15,0.0,0.08,9.37,0.08
20,1940,10.72,10.46,0.03,0.0,0.0,0.07,0.0,0.17,0.0,0.07,10.66,0.07
21,1941,12.07,11.8,0.02,0.0,0.0,0.07,0.0,0.18,0.0,0.07,12.0,0.07
22,1942,13.19,12.87,0.02,0.0,0.0,0.09,0.0,0.21,0.0,0.09,13.1,0.09
23,1943,13.39,13.05,0.01,0.0,0.0,0.11,0.0,0.21,0.0,0.11,13.270000000000001,0.11
24,1944,14.24,13.9,0.02,0.0,0.0,0.1,0.0,0.22,0.0,0.1,14.14,0.1
25,1945,13.9,13.57,0.02,0.0,0.0,0.1,0.0,0.22,0.0,0.1,13.81,0.1
