,Date,Non_Renewable,Renewable,Other,Nuclear,Import
0,2015-01-03,674283,300547,53305,352658,139414
1,2015-01-04,930582,298058,54722,320761,94314
2,2015-01-05,989804,73770,41986,334293,146174
3,2015-01-06,671024,249330,26438,350799,142134
4,2015-01-07,856572,159622,34614,367695,138034
5,2015-01-08,569897,102383,85119,333104,134910
6,2015-01-09,873975,92715,66929,320090,138710
7,2015-01-10,900372,80874,82561,365276,147352
8,2015-01-11,857085,83480,99862,349385,126728
9,2015-01-12,957154,224498,96325,395520,120940
10,2015-02-03,957804,299699,52140,353082,141516
11,2015-02-04,1162465,109448,53695,322621,95130
12,2015-02-05,691476,190561,55944,330190,144576
13,2015-02-06,661596,294910,46215,329072,133792
14,2015-02-07,946221,88942,22445,360885,140798
15,2015-02-08,551985,101249,70074,327926,136734
16,2015-02-09,872224,91930,66978,334626,143134
17,2015-02-10,903192,59883,95368,364919,140398
18,2015-02-11,1116923,60784,112107,350373,125830
19,2015-02-12,952940,249117,97856,395632,80712
20,2015-02-22,933310,231096,37275,371425,121434
21,2015-02-23,970128,325083,49217,371329,121700
22,2015-02-24,995711,317224,54187,371554,122642
23,2015-02-25,1203145,165828,54636,377955,118544
24,2015-02-26,964543,295421,54169,393695,131658
25,2015-02-27,1010634,240672,50937,378559,141438
26,2015-02-28,769267,284110,42473,370759,137940
27,2015-03-03,993717,304694,51685,349330,136574
28,2015-03-04,1004513,116876,41464,331616,106306
29,2015-03-05,557575,249870,52565,333495,134962
30,2015-03-06,820532,169415,37940,326787,138274
31,2015-03-07,860046,84511,5489,362969,130962
32,2015-03-08,610021,210426,63627,327508,143480
33,2015-03-09,821618,144857,67768,333052,145470
34,2015-03-10,833408,29762,78165,367625,144176
35,2015-03-11,1152511,67306,114318,354085,126322
36,2015-03-12,982975,204317,97782,397468,120684
37,2015-03-13,1171439,111530,49175,352139,143416
38,2015-03-14,977067,152016,48472,352059,140288
39,2015-03-15,984317,141897,34982,351891,142518
40,2015-03-16,1337666,84487,35730,352051,123924
41,2015-03-17,1299840,47787,33674,342290,138858
42,2015-03-18,1291307,63249,33976,352080,143610
43,2015-03-19,1269213,101652,33967,344853,143210
44,2015-03-20,1146083,126715,43749,336212,138780
45,2015-03-21,974544,125935,50317,312419,133346
46,2015-03-22,937974,125123,51572,312977,139508
47,2015-03-23,1184789,149115,52145,316876,87780
48,2015-03-24,1315264,66083,49710,319226,77300
49,2015-03-25,1330195,75265,38896,317513,75676
50,2015-03-26,1017743,261075,51367,318997,91452
51,2015-03-27,1182143,115577,53119,318063,85454
52,2015-03-28,757385,264601,52010,326483,96526
53,2015-03-29,740070,241350,40632,314637,82978
54,2015-03-30,909900,298275,54506,324761,92332
55,2015-03-31,861925,320442,54198,315277,100302
56,2015-04-03,1071039,238018,49583,346311,139458
57,2015-04-04,888582,90180,55465,347125,142034
58,2015-04-05,663710,173787,51202,332168,123948
59,2015-04-06,918614,85833,37506,320227,140090
60,2015-04-07,576231,162809,20979,362804,136494
61,2015-04-08,581684,233295,66636,313220,141024
62,2015-04-09,774471,164884,67475,329777,144224
63,2015-04-10,724418,45381,90864,378735,147918
64,2015-04-11,1125347,56488,113499,348413,121044
65,2015-04-12,790138,293864,97573,402070,104864
66,2015-04-13,960270,150054,51070,325136,137992
67,2015-04-14,805359,230461,49702,326984,141482
68,2015-04-15,904872,165456,38364,328510,140496
69,2015-04-16,1012320,81444,52652,322040,146930
70,2015-04-17,919480,120635,52935,331565,146532
71,2015-04-18,712753,106970,52100,341599,143434
72,2015-04-19,760502,95488,49466,357252,142502
73,2015-04-20,992580,64760,38875,358916,142118
74,2015-04-21,943805,72905,53796,357792,146314
75,2015-04-22,953886,57225,53262,366067,147674
76,2015-04-23,981428,49915,41745,372056,148164
77,2015-04-24,900190,91350,51495,373042,147062
78,2015-04-25,657105,162731,36063,373482,143188
79,2015-04-26,698991,112177,45659,374223,143878
80,2015-04-27,883086,121574,52384,374562,145766
81,2015-04-28,770644,206088,48553,372486,144146
82,2015-04-29,813313,196528,53011,368267,138608
83,2015-04-30,899641,144714,51260,352190,143278
84,2015-05-03,1094270,242547,40374,360725,131844
85,2015-05-04,847055,44053,55353,356276,140086
86,2015-05-05,738218,253121,43082,333791,140190
87,2015-05-06,769403,175243,50259,320292,133672
88,2015-05-07,679473,75042,21637,358002,134522
89,2015-05-08,747839,164514,64881,316720,138614
90,2015-05-09,620804,150721,67360,336982,140094
91,2015-05-10,817915,196197,93073,377364,103376
92,2015-05-11,1061040,121863,99235,354272,118444
93,2015-05-12,668807,251982,98458,415285,101460
94,2015-05-13,961983,93761,34499,355661,95914
95,2015-05-14,919779,158542,38017,355921,144140
96,2015-05-15,828211,149578,54237,356164,139378
97,2015-05-16,521732,189356,52795,356229,134236
98,2015-05-17,535890,185013,51018,355796,132426
99,2015-05-18,809840,175943,44171,355835,133120
100,2015-05-19,784427,217295,40380,355624,121640
101,2015-05-20,846988,168287,53591,353421,119796
102,2015-05-21,838976,148118,54590,351715,118524
103,2015-05-22,837604,142133,55351,355250,119374
104,2015-05-23,735980,85183,49999,354623,114822
105,2015-05-24,601428,154171,36456,353907,114058
106,2015-05-25,687037,122741,52383,357430,114792
107,2015-05-26,808405,129883,53290,357853,117634
108,2015-05-27,788817,145123,51233,357583,120976
109,2015-05-28,652257,224854,48817,351046,130308
110,2015-05-29,754864,170742,38562,359769,142232
111,2015-05-30,623317,136791,50116,351618,134314
112,2015-05-31,486857,230444,44291,354590,139094
113,2015-06-03,901590,271554,51925,365342,138022
114,2015-06-04,813675,69995,55244,358454,142414
115,2015-06-05,776782,258744,34866,330946,138392
116,2015-06-06,434774,246341,50019,325680,115604
117,2015-06-07,792993,120094,20889,371540,136548
118,2015-06-08,824394,116480,62888,314836,114582
119,2015-06-09,595965,120455,78478,338278,137686
120,2015-06-10,947255,117125,91496,377021,100014
121,2015-06-11,887309,205965,97882,355040,125324
122,2015-06-12,692171,216931,97280,412605,100234
123,2015-06-13,720599,87200,55114,371850,144468
124,2015-06-14,669157,67726,54114,381353,141586
125,2015-06-15,857486,64753,42274,378973,139736
126,2015-06-16,822223,72966,53613,354124,146422
127,2015-06-17,743545,198021,53865,344842,140048
128,2015-06-18,750372,163430,51736,333918,142828
129,2015-06-19,821326,102210,50405,327324,144210
130,2015-06-20,771878,58052,39237,333445,143808
131,2015-06-21,553010,130087,52065,336933,131718
132,2015-06-22,773633,137233,51923,350234,141498
133,2015-06-23,877866,87728,48725,354143,139512
134,2015-06-24,905268,62136,36537,352095,143380
135,2015-06-25,934351,63678,36562,342341,142592
136,2015-06-26,837733,112181,51191,342076,144304
137,2015-06-27,647058,99189,40686,343520,139640
138,2015-06-28,564799,155105,46991,346264,128982
139,2015-06-29,873907,73750,33463,352946,141294
140,2015-06-30,836907,114283,35432,356927,145014
141,2015-07-03,642238,297483,51793,364740,136974
142,2015-07-04,985663,86784,39562,362154,128710
143,2015-07-05,971576,145759,36730,312210,136856
144,2015-07-06,554824,160103,52757,334220,101116
145,2015-07-07,712183,180451,20618,373258,129234
146,2015-07-08,876192,52473,73817,316019,121200
147,2015-07-09,901490,66845,82480,340479,138286
148,2015-07-10,887821,145359,109447,378250,99758
149,2015-07-11,709045,181659,102491,366021,124284
150,2015-07-12,860356,245802,98814,420728,99866
151,2015-07-13,920181,101827,20389,342962,140730
152,2015-07-14,993828,66529,8635,343753,144102
153,2015-07-15,930049,67600,18309,343412,144164
154,2015-07-16,849701,116595,21982,344893,142178
155,2015-07-17,617649,248371,20393,344924,141218
156,2015-07-18,497691,202422,20319,344562,119690
157,2015-07-19,573846,127843,8959,351646,125716
158,2015-07-20,812835,137852,21651,351576,130396
159,2015-07-21,731902,178878,21894,350927,133076
160,2015-07-22,854172,99682,40573,338671,142228
161,2015-07-23,774734,120106,80771,332153,143954
162,2015-07-24,881881,80017,51451,309060,140798
163,2015-07-25,581964,125241,53929,327641,137864
164,2015-07-26,566307,135310,75256,342936,141484
165,2015-07-27,690969,150526,84401,335967,142042
166,2015-07-28,744345,127697,82107,318926,143072
167,2015-07-29,762536,125282,71556,319821,143472
168,2015-07-30,781790,86204,85276,329365,143948
169,2015-07-31,685325,110944,84903,347329,145922
170,2015-08-03,780321,224668,51326,366378,129320
171,2015-08-04,1031690,59272,36351,357053,132422
172,2015-08-05,1019265,95467,36096,315509,146336
173,2015-08-06,869414,101550,53074,339749,106674
174,2015-08-07,737560,189409,17076,374433,126976
175,2015-08-08,638859,103735,55025,320699,120068
176,2015-08-09,939883,50792,80959,347083,146326
177,2015-08-10,1001111,61211,108508,375911,94750
178,2015-08-11,597844,230522,115643,368568,127336
179,2015-08-12,794252,293321,95773,419027,103364
180,2015-08-13,882465,103445,82339,316546,144282
181,2015-08-14,881892,76945,82612,323776,151632
182,2015-08-15,641916,74237,81542,328387,143272
183,2015-08-16,692257,35065,80929,325143,140084
184,2015-08-17,903343,50664,68840,304773,140640
185,2015-08-18,853987,109549,75396,304269,143440
186,2015-08-19,847059,120446,76261,304481,148022
187,2015-08-20,857506,122447,81623,303514,146410
188,2015-08-21,761803,162334,81487,308740,143950
189,2015-08-22,699305,95381,70374,321367,139338
190,2015-08-23,490476,200532,82115,339593,123968
191,2015-08-24,854277,86658,80509,354054,138608
192,2015-08-25,734591,149044,80580,359470,146220
193,2015-08-26,651049,201126,80722,359756,144800
194,2015-08-27,645111,208823,70476,359339,139130
195,2015-08-28,626425,168819,82671,359293,142904
196,2015-08-29,558075,142571,82287,359119,135862
197,2015-08-30,627483,80852,82603,357243,136800
198,2015-08-31,717117,91380,79822,350122,130422
199,2015-09-03,1052712,233380,48285,352770,143784
200,2015-09-04,991752,86060,35883,344228,138308
201,2015-09-05,702267,156352,35772,331398,148672
202,2015-09-06,859025,119836,52158,356794,120588
203,2015-09-07,858095,80141,8915,349621,140982
204,2015-09-08,571689,129169,54993,326827,134720
205,2015-09-09,886246,86087,78048,350201,142828
206,2015-09-10,1003771,52293,82455,376434,97910
207,2015-09-11,724643,284657,113397,368268,117560
208,2015-09-12,892923,281478,100030,410260,73662
209,2015-09-13,677248,82602,84861,337825,135564
210,2015-09-14,930733,106897,84953,345829,78362
211,2015-09-15,939757,119027,85244,355289,76194
212,2015-09-16,1004711,67944,81109,348037,105630
213,2015-09-17,919563,72390,72251,352682,151104
214,2015-09-18,958690,46948,72784,341809,150306
215,2015-09-19,775665,45960,85135,331786,142278
216,2015-09-20,723513,70251,83938,332052,146620
217,2015-09-21,922255,96662,72086,331869,145968
218,2015-09-22,942171,98251,69462,319338,146244
219,2015-09-23,873631,133189,68919,318186,143134
220,2015-09-24,763310,194240,67512,308921,144294
221,2015-09-25,868852,120060,66190,315561,142200
222,2015-09-26,786895,41169,81063,321935,148886
223,2015-09-27,707057,68099,85050,325170,148942
224,2015-09-28,865441,95139,84579,332879,145012
225,2015-09-29,880061,99974,80138,338517,144504
226,2015-09-30,863929,88912,81519,353994,148546
227,2015-10-03,1108686,160409,39812,353006,139016
228,2015-10-04,859027,145998,47019,340403,143138
229,2015-10-05,602150,185169,35142,339740,139816
230,2015-10-06,853370,104467,41303,345210,142896
231,2015-10-07,795211,107901,21585,362545,143192
232,2015-10-08,791977,147991,53463,326922,121882
233,2015-10-09,753678,157308,69304,353392,136916
234,2015-10-10,837801,61790,84165,374887,102790
235,2015-10-11,749425,284801,110198,367515,111346
236,2015-10-12,891475,298974,98414,409592,81016
237,2015-10-13,964045,112349,112018,386516,93936
238,2015-10-14,1007987,107062,113738,388828,77614
239,2015-10-15,1086591,77955,110187,389247,75806
240,2015-10-16,1013523,112557,111807,389184,79122
241,2015-10-17,779497,107567,95000,388910,127220
242,2015-10-18,875195,46046,75782,389642,122506
243,2015-10-19,1113462,55486,83172,389417,89268
244,2015-10-20,1040836,90678,90511,389427,93996
245,2015-10-21,883510,207127,92838,389710,101656
246,2015-10-22,864853,197394,63932,389983,101372
247,2015-10-23,962720,148548,65564,390310,112638
248,2015-10-24,717545,199863,65413,374084,117802
249,2015-10-25,797147,160299,69650,372496,123624
250,2015-10-26,949588,169498,73443,343614,119844
251,2015-10-27,1028313,140817,77940,342409,124830
252,2015-10-28,1090901,103051,83700,341404,111342
253,2015-10-29,984951,187792,88968,346041,92298
254,2015-10-30,927587,169610,107251,342599,125744
255,2015-10-31,770606,145963,109963,343382,124012
256,2015-11-03,1064758,197101,50832,351279,145148
257,2015-11-04,520665,251537,48777,356049,139178
258,2015-11-05,691567,253144,44250,351206,99012
259,2015-11-06,830864,94013,55510,340754,145580
260,2015-11-07,608381,135612,21711,339133,138780
261,2015-11-08,910539,69987,54331,317896,147790
